"country","decimalLatitude","decimalLongitude","Site","yearCollected","monthCollected","dayCollected","date","date_t1","date_t2","genus","species","scientific","susceptibility","BdDetected","BsalDetected","fatal","sppAbun","siteAbun","richness","alphadiv","soilMoisture_date","soilMoisture_date_t1","soilMoisture_date_t2","temp_date","temp_date_t1","temp_date_t2"
"Germany",51.099426,6.167827,325,2017,7,6,2017-07-06,2017-06-06,2017-05-07,"Ichthyosaura","alpestris","Ichthyosaura alpestris",2,"0","0","0",4,8,3,2.0228085294147,5.36032676696777,5.39113330841064,5.67182159423828,21.251763916016,14.438439941406,12.656488037109
"Germany",51.099426,6.167827,325,2017,7,6,2017-07-06,2017-06-06,2017-05-07,"Lissotriton","helveticus","Lissotriton helveticus",1,"0","0","0",2,8,3,2.0228085294147,5.36032676696777,5.39113330841064,5.67182159423828,21.251763916016,14.438439941406,12.656488037109
"Germany",50.747077,6.366395,284,2019,4,2,2019-04-02,2019-03-03,2019-02-01,"Salamandra","salamandra","Salamandra salamandra",3,"0","0","0",1,1,1,0,5.84523344039917,5.79895544052124,5.9330415725708,9.305169677734,8.58803710937502,0.806146240234
"Germany",49.314267,9.299841,51,2018,10,28,2018-10-28,2018-09-28,2018-08-29,"Salamandra","salamandra","Salamandra salamandra",3,"0","0","0",4,4,1,1.38629436111989,5.80170392990112,5.10449743270874,4.99775362014771,4.28359375000002,13.757165527344,21.067254638672
"Germany",50.266289,6.359245,143,2019,5,16,2019-05-16,2019-04-16,2019-03-17,"Lissotriton","helveticus","Lissotriton helveticus",1,"0","0","0",1,1,1,0,6.12407684326172,6.27607393264771,6.54649591445923,8.409906005859,8.514245605469,3.72808227539105
"Germany",51.413459,7.043988,348,2017,9,8,2017-09-08,2017-08-09,2017-07-10,"Salamandra","salamandra","Salamandra salamandra",3,"0","0","0",12,12,1,2.484906649788,7.05756616592407,6.77419328689575,6.7421703338623,14.452294921875,17.434899902344,21.972436523438
"Germany",51.439667,7.423111,357,2020,2,2,2020-02-02,2020-01-03,2019-12-04,"Salamandra","salamandra","Salamandra salamandra",3,"0","1","1",1,1,1,0,6.07923030853271,5.79240274429321,5.5009765625,7.98220214843803,5.958093261719,2.253411865234
"Germany",51.418056,7.250944,349,2019,5,10,2019-05-10,2019-04-10,2019-03-11,"Salamandra","salamandra","Salamandra salamandra",3,"0","0","0",4,4,1,1.38629436111989,5.61140775680542,5.49410772323608,5.89467716217041,9.70925292968803,6.15545043945303,2.56481323242201
"Germany",50.562297,6.279368,206,2017,5,5,2017-05-05,2017-04-05,2017-03-06,"Salamandra","salamandra","Salamandra salamandra",3,"0","0","0",1,1,1,0,5.99574661254883,5.99087238311768,6.37557458877563,8.42302856445303,7.06792602539105,5.50631103515605
"Germany",51.437,7.257333,356,2018,5,17,2018-05-17,2018-04-17,2018-03-18,"Salamandra","salamandra","Salamandra salamandra",3,"0","0","0",3,3,1,1.09861228866811,5.35960149765015,6.00706672668457,6.11697959899902,11.733209228516,13.355462646484,-2.570715332031
"Germany",50.75414,6.307838,294,2018,6,21,2018-06-21,2018-05-22,2018-04-22,"Lissotriton","helveticus","Lissotriton helveticus",1,"0","0","0",18,20,2,2.92943727216281,6.44258880615234,6.72921514511108,6.94757080078125,15.041955566406,17.655572509766,18.032189941406
"Germany",50.75414,6.307838,294,2018,6,21,2018-06-21,2018-05-22,2018-04-22,"Ichthyosaura","alpestris","Ichthyosaura alpestris",2,"0","0","0",2,20,2,2.92943727216281,6.44258880615234,6.72921514511108,6.94757080078125,15.041955566406,17.655572509766,18.032189941406
"Germany",50.75414,6.307838,294,2018,4,10,2018-04-10,2018-03-11,2018-02-09,"Bufo","bufo","Bufo bufo",1,"0","0","0",1,4,3,1.32966134885476,7.19564533233643,7.17736101150513,7.20199155807495,14.226800537109,10.249383544922,-0.0766967773439546
"Germany",50.75414,6.307838,294,2018,4,10,2018-04-10,2018-03-11,2018-02-09,"Rana","temporaria","Rana temporaria",1,"0","0","0",1,4,3,1.32966134885476,7.19564533233643,7.17736101150513,7.20199155807495,14.226800537109,10.249383544922,-0.0766967773439546
"Germany",50.75414,6.307838,294,2018,4,10,2018-04-10,2018-03-11,2018-02-09,"Salamandra","salamandra","Salamandra salamandra",3,"0","0","0",2,4,3,1.32966134885476,7.19564533233643,7.17736101150513,7.20199155807495,14.226800537109,10.249383544922,-0.0766967773439546
"Germany",49.880861,6.338427,80,2018,4,4,2018-04-04,2018-03-05,2018-02-03,"Salamandra","salamandra","Salamandra salamandra",3,"0","0","0",5,7,2,1.88424284608674,6.76400852203369,6.50366878509521,6.55120134353638,9.53560791015605,4.432366943359,1.18837890625002
"Germany",49.880861,6.338427,80,2018,4,4,2018-04-04,2018-03-05,2018-02-03,"Rana","temporaria","Rana temporaria",1,"0","0","0",2,7,2,1.88424284608674,6.76400852203369,6.50366878509521,6.55120134353638,9.53560791015605,4.432366943359,1.18837890625002
"Germany",50.735089,6.359651,270,2018,3,12,2018-03-12,2018-02-10,2018-01-11,"Salamandra","salamandra","Salamandra salamandra",3,"0","0","0",12,29,5,3.2864715720229,6.31243801116943,6.38648223876953,6.04496192932129,8.38057861328105,-0.163610839843955,4.21282348632803
"Germany",50.735089,6.359651,270,2018,3,12,2018-03-12,2018-02-10,2018-01-11,"Bufo","bufo","Bufo bufo",1,"0","0","0",14,29,5,3.2864715720229,6.31243801116943,6.38648223876953,6.04496192932129,8.38057861328105,-0.163610839843955,4.21282348632803
"Germany",50.735089,6.359651,270,2018,3,12,2018-03-12,2018-02-10,2018-01-11,"Salamandra","salamandra","Salamandra salamandra",3,"0","1","0",12,29,5,3.2864715720229,6.31243801116943,6.38648223876953,6.04496192932129,8.38057861328105,-0.163610839843955,4.21282348632803
"Germany",50.735089,6.359651,270,2018,3,12,2018-03-12,2018-02-10,2018-01-11,"Ichthyosaura","alpestris","Ichthyosaura alpestris",2,"0","0","0",1,29,5,3.2864715720229,6.31243801116943,6.38648223876953,6.04496192932129,8.38057861328105,-0.163610839843955,4.21282348632803
"Germany",50.735089,6.359651,270,2018,3,12,2018-03-12,2018-02-10,2018-01-11,"Rana","temporaria","Rana temporaria",1,"0","0","0",1,29,5,3.2864715720229,6.31243801116943,6.38648223876953,6.04496192932129,8.38057861328105,-0.163610839843955,4.21282348632803
"Germany",50.735089,6.359651,270,2018,3,12,2018-03-12,2018-02-10,2018-01-11,"Lissotriton","helveticus","Lissotriton helveticus",1,"0","0","0",1,29,5,3.2864715720229,6.31243801116943,6.38648223876953,6.04496192932129,8.38057861328105,-0.163610839843955,4.21282348632803
"Germany",51.403281,6.995988,346,2019,5,17,2019-05-17,2019-04-17,2019-03-18,"Salamandra","salamandra","Salamandra salamandra",3,"0","1","0",7,7,1,1.94591014905531,6.85510540008545,6.82159328460693,6.9643726348877,11.179437255859,12.075189208984,4.65313110351605
